user_id,assessment_pid,parent_id,teacher_id,birth_month,birth_year
qTPaWR2kjDgsI9pcOtkoxWtXF0r2,NA,NA,NA,12,10000
O5G3bvLE4kc97vqxWTpmvUC64AC3,NA,NA,NA,12,10000
KQnq9GmimIMGkhVT0u5tVRbxvPn1,NA,NA,NA,12,10000
feUviq9peCgwNN2bpGKiW5LoJVG2,NA,NA,NA,12,10000
SgYBcSKkaseSqGiOJGDuzOOo2fD2,NA,NA,NA,12,10000
3EVnWnZYPaXe8uZSkTqkExM3PdU2,NA,NA,NA,12,10000
LBH5rDePP5XwqUBV6KgTdUdepV93,NA,NA,NA,12,10000
4ZxnAl5b0TSX5svMdByQOFBJVid2,NA,NA,NA,12,10000
L71142htkic3iBrePh5z8CNC43C3,NA,NA,NA,12,10000
GNSBpn05ZGer8IixlvSKgwcQMf03,NA,NA,NA,12,10000
Fxx8XHU7z7XnelHmSQz2VpBUrLl1,NA,NA,NA,12,10000
9vEmKwaSfwY6So2TRie7WPwtMHF2,NA,NA,NA,12,10000
dw9DhQznYEQXad0mo8o97ssoioI3,NA,NA,NA,12,10000
mjKdu8mbYKa9pRrS6bSxSr2rXc13,NA,NA,NA,12,10000
IhUPjzZYyzO24FG7kDvr4LgjgdA2,NA,NA,NA,12,10000
TFTBuZxCZBetToU5JIx0Q5wHQNz2,NA,NA,NA,12,10000
IREduAPbj5UQcU8NT80qpfmNtmF3,NA,NA,NA,12,10000
4AqROCukqUXyBUWdnQ0csxPs6o03,NA,NA,NA,12,10000
HOBrlvSwDvSyeKf85WSVF1OiyCe2,NA,NA,NA,12,10000
zhjhmkSkmKXFO3hAfOj3pWLT0dE3,NA,NA,NA,12,10000
IZAG98vT5ObQKxDInPel48HzMLG3,NA,NA,NA,12,10000
EZ0cxtlPDeYLUVrWvR833eYLkJq1,NA,NA,NA,12,10000
qo4Q7Z7RgRV5WnLN61E3D14MwUl2,NA,NA,NA,12,10000
UWIADvP9CRSFQNoBV6aIIldhmrg2,NA,NA,NA,12,10000
7qtKdZLq34crDFOmhgdC9HL1fRE2,NA,NA,NA,12,10000
9ARSpl67kCfZ4jKsQ03P5frM4Lm2,NA,NA,NA,12,10000
XErBE1bHreebaM8bumlgZxuWFxA3,NA,NA,NA,12,10000
pu24VthHMMSi7tPGP23w6J7q0T93,NA,NA,NA,12,10000
lerrQhBSkLa2bA0Bsy6Re7J1xug2,NA,NA,NA,12,10000
b0BtTwKSn3N3dp3UEcjAfWFq0U62,NA,NA,NA,12,10000
