Task,Item,N,p,pbis,flag_p,flag_pbis
mg,mg_forward_3grid_len6,86,0.209,0.05,FALSE,TRUE
mg,mg_forward_3grid_len7,14,0.143,-0.403,TRUE,TRUE
mg,mg_forward_3grid_len8,1,0,NA,TRUE,FALSE
mrot,mrot_2d_duck_040,520,0.877,0.303,FALSE,FALSE
mrot,mrot_2d_duck_080,518,0.875,0.297,FALSE,FALSE
mrot,mrot_2d_duck_120,487,0.799,0.457,FALSE,FALSE
mrot,mrot_2d_duck_160,501,0.721,0.398,FALSE,FALSE
mrot,mrot_2d_rabbit_020,653,0.931,0.235,TRUE,FALSE
mrot,mrot_2d_rabbit_040,659,0.921,0.264,TRUE,FALSE
mrot,mrot_2d_rabbit_080,646,0.845,0.369,FALSE,FALSE
mrot,mrot_2d_rabbit_120,585,0.691,0.512,FALSE,FALSE
mrot,mrot_2d_rabbit_160,616,0.633,0.535,FALSE,FALSE
mrot,mrot_3d_shape_040,468,0.594,0.172,FALSE,TRUE
mrot,mrot_3d_shape_080,448,0.444,0.064,FALSE,TRUE
mrot,mrot_3d_shape_120,446,0.471,0.066,FALSE,TRUE
pa,pa_1,219,0.776,0.397,FALSE,FALSE
pa,pa_10,201,0.761,0.433,FALSE,FALSE
pa,pa_11,193,0.663,0.496,FALSE,FALSE
pa,pa_12,194,0.887,0.317,FALSE,FALSE
pa,pa_13,193,0.674,0.484,FALSE,FALSE
pa,pa_14,198,0.727,0.422,FALSE,FALSE
pa,pa_15,196,0.719,0.48,FALSE,FALSE
pa,pa_16,207,0.657,0.518,FALSE,FALSE
pa,pa_17,222,0.734,0.356,FALSE,FALSE
pa,pa_18,157,0.783,0.374,FALSE,FALSE
pa,pa_19,221,0.842,0.242,FALSE,FALSE
pa,pa_2,167,0.695,0.537,FALSE,FALSE
pa,pa_20,190,0.737,0.313,FALSE,FALSE
pa,pa_21,189,0.624,0.333,FALSE,FALSE
pa,pa_22,206,0.714,0.292,FALSE,FALSE
pa,pa_23,185,0.741,0.489,FALSE,FALSE
pa,pa_24,149,0.792,0.432,FALSE,FALSE
pa,pa_25,177,0.678,0.557,FALSE,FALSE
pa,pa_26,96,0.792,0.314,FALSE,FALSE
pa,pa_27,47,0.596,0.368,FALSE,FALSE
pa,pa_28,56,1,NA,TRUE,FALSE
pa,pa_29,64,0.828,0.269,FALSE,FALSE
pa,pa_3,199,0.744,0.49,FALSE,FALSE
pa,pa_4,225,0.818,0.164,FALSE,TRUE
pa,pa_5,209,0.804,0.317,FALSE,FALSE
pa,pa_6,208,0.808,0.187,FALSE,TRUE
pa,pa_7,197,0.761,0.394,FALSE,FALSE
pa,pa_8,209,0.756,0.544,FALSE,FALSE
pa,pa_9,191,0.785,0.317,FALSE,FALSE
sds,sds_2match_choice1,331,0.958,0.226,TRUE,FALSE
sds,sds_2match_choice2,332,0.732,0.377,FALSE,FALSE
sds,sds_3match_choice1,283,0.88,0.216,FALSE,FALSE
sds,sds_3match_choice2,286,0.692,0.382,FALSE,FALSE
sds,sds_3match_choice3,277,0.516,0.444,FALSE,FALSE
sds,sds_4match_choice1,189,0.852,-0.025,FALSE,TRUE
sds,sds_4match_choice2,189,0.741,0.232,FALSE,FALSE
sds,sds_4match_choice3,174,0.603,0.23,FALSE,FALSE
sds,sds_4match_choice4,168,0.47,0.224,FALSE,FALSE
sds,sds_dimensions_color,595,0.973,0.026,TRUE,TRUE
sds,sds_dimensions_number,363,0.97,0.145,TRUE,TRUE
sds,sds_dimensions_shape,598,0.965,0.13,TRUE,TRUE
sds,sds_dimensions_size,595,0.978,0.133,TRUE,TRUE
sds,sds_dimensions_texture,369,0.976,0.116,TRUE,TRUE
sds,sds_same_same,642,0.807,0.412,FALSE,FALSE
sre,sre_aiV1P1_1,25,0.88,0.136,FALSE,TRUE
sre,sre_aiV1P1_10,22,0.909,0.104,TRUE,TRUE
sre,sre_aiV1P1_100,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_101,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_102,2,0.5,NA,FALSE,FALSE
sre,sre_aiV1P1_103,2,0,NA,TRUE,FALSE
sre,sre_aiV1P1_105,2,1,NA,TRUE,FALSE
sre,sre_aiV1P1_106,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_107,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_108,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_109,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_11,25,0.92,0.101,TRUE,TRUE
sre,sre_aiV1P1_110,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_113,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_116,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_117,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_118,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_119,2,1,NA,TRUE,FALSE
sre,sre_aiV1P1_12,26,0.923,0.082,TRUE,TRUE
sre,sre_aiV1P1_120,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_121,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_123,2,1,NA,TRUE,FALSE
sre,sre_aiV1P1_124,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_125,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_126,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_127,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_129,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_13,25,0.96,0.268,TRUE,FALSE
sre,sre_aiV1P1_130,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_14,25,0.92,0.347,TRUE,FALSE
sre,sre_aiV1P1_15,26,0.962,0.402,TRUE,FALSE
sre,sre_aiV1P1_16,25,0.96,0.18,TRUE,TRUE
sre,sre_aiV1P1_17,25,0.76,0.366,FALSE,FALSE
sre,sre_aiV1P1_18,23,0.783,0.229,FALSE,FALSE
sre,sre_aiV1P1_19,23,1,NA,TRUE,FALSE
sre,sre_aiV1P1_2,25,0.8,-0.184,FALSE,TRUE
sre,sre_aiV1P1_20,25,0.96,0.18,TRUE,TRUE
sre,sre_aiV1P1_21,25,0.72,-0.425,FALSE,TRUE
sre,sre_aiV1P1_22,25,0.96,0.18,TRUE,TRUE
sre,sre_aiV1P1_23,24,0.917,0.473,TRUE,FALSE
sre,sre_aiV1P1_24,23,0.87,0.329,FALSE,FALSE
sre,sre_aiV1P1_25,23,0.87,0.43,FALSE,FALSE
sre,sre_aiV1P1_26,24,0.875,0.229,FALSE,FALSE
sre,sre_aiV1P1_27,23,0.957,0.032,TRUE,TRUE
sre,sre_aiV1P1_28,24,0.833,0.252,FALSE,FALSE
sre,sre_aiV1P1_29,24,0.833,0.22,FALSE,FALSE
sre,sre_aiV1P1_3,26,0.808,-0.025,FALSE,TRUE
sre,sre_aiV1P1_30,24,0.833,0.268,FALSE,FALSE
sre,sre_aiV1P1_31,22,0.818,0.081,FALSE,TRUE
sre,sre_aiV1P1_32,23,0.826,0.382,FALSE,FALSE
sre,sre_aiV1P1_33,23,0.913,0.207,TRUE,FALSE
sre,sre_aiV1P1_34,22,0.955,0.276,TRUE,FALSE
sre,sre_aiV1P1_35,21,0.952,0.171,TRUE,TRUE
sre,sre_aiV1P1_36,20,0.9,0.297,FALSE,FALSE
sre,sre_aiV1P1_37,22,1,NA,TRUE,FALSE
sre,sre_aiV1P1_38,21,1,NA,TRUE,FALSE
sre,sre_aiV1P1_39,19,1,NA,TRUE,FALSE
sre,sre_aiV1P1_4,23,0.826,0.099,FALSE,TRUE
sre,sre_aiV1P1_40,22,0.909,0.412,TRUE,FALSE
sre,sre_aiV1P1_41,20,0.9,-0.286,FALSE,TRUE
sre,sre_aiV1P1_42,21,0.952,0.308,TRUE,FALSE
sre,sre_aiV1P1_43,20,0.65,-0.135,FALSE,TRUE
sre,sre_aiV1P1_44,20,0.9,0.462,FALSE,FALSE
sre,sre_aiV1P1_45,21,0.905,0.374,TRUE,FALSE
sre,sre_aiV1P1_46,19,0.947,0.102,TRUE,TRUE
sre,sre_aiV1P1_47,17,0.882,0.546,FALSE,FALSE
sre,sre_aiV1P1_48,17,0.941,0.065,TRUE,TRUE
sre,sre_aiV1P1_49,13,0.769,0.14,FALSE,TRUE
sre,sre_aiV1P1_5,24,0.833,-0.021,FALSE,TRUE
sre,sre_aiV1P1_50,15,1,NA,TRUE,FALSE
sre,sre_aiV1P1_51,14,0.714,0.49,FALSE,FALSE
sre,sre_aiV1P1_52,14,0.857,0.748,FALSE,FALSE
sre,sre_aiV1P1_53,15,0.867,0.419,FALSE,FALSE
sre,sre_aiV1P1_54,15,0.8,0.418,FALSE,FALSE
sre,sre_aiV1P1_55,14,0.929,0.502,TRUE,FALSE
sre,sre_aiV1P1_56,13,1,NA,TRUE,FALSE
sre,sre_aiV1P1_57,13,0.846,0.605,FALSE,FALSE
sre,sre_aiV1P1_58,12,0.917,0.67,TRUE,FALSE
sre,sre_aiV1P1_59,11,1,NA,TRUE,FALSE
sre,sre_aiV1P1_6,25,0.88,0.121,FALSE,TRUE
sre,sre_aiV1P1_60,11,0.818,0.762,FALSE,FALSE
sre,sre_aiV1P1_61,11,0.909,0.314,TRUE,FALSE
sre,sre_aiV1P1_62,8,1,NA,TRUE,FALSE
sre,sre_aiV1P1_63,8,0.625,0.703,FALSE,FALSE
sre,sre_aiV1P1_64,9,0.778,0.051,FALSE,TRUE
sre,sre_aiV1P1_65,9,1,NA,TRUE,FALSE
sre,sre_aiV1P1_66,9,0.667,0.02,FALSE,TRUE
sre,sre_aiV1P1_67,6,0.833,0.916,FALSE,FALSE
sre,sre_aiV1P1_68,5,0.6,0.763,FALSE,FALSE
sre,sre_aiV1P1_69,5,1,NA,TRUE,FALSE
sre,sre_aiV1P1_7,22,0.864,-0.074,FALSE,TRUE
sre,sre_aiV1P1_70,5,0.6,0.63,FALSE,FALSE
sre,sre_aiV1P1_71,5,0.8,0.953,FALSE,FALSE
sre,sre_aiV1P1_72,6,0.833,-0.107,FALSE,TRUE
sre,sre_aiV1P1_73,5,0.8,0.953,FALSE,FALSE
sre,sre_aiV1P1_74,5,1,NA,TRUE,FALSE
sre,sre_aiV1P1_75,4,0.5,NA,FALSE,FALSE
sre,sre_aiV1P1_76,3,1,NA,TRUE,FALSE
sre,sre_aiV1P1_77,4,0.5,NA,FALSE,FALSE
sre,sre_aiV1P1_78,2,1,NA,TRUE,FALSE
sre,sre_aiV1P1_79,3,0,NA,TRUE,FALSE
sre,sre_aiV1P1_8,23,0.652,-0.061,FALSE,TRUE
sre,sre_aiV1P1_80,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_81,3,0.333,NA,FALSE,FALSE
sre,sre_aiV1P1_82,2,1,NA,TRUE,FALSE
sre,sre_aiV1P1_83,2,0.5,NA,FALSE,FALSE
sre,sre_aiV1P1_84,2,1,NA,TRUE,FALSE
sre,sre_aiV1P1_86,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_87,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_88,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_89,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_9,25,0.8,0.05,FALSE,TRUE
sre,sre_aiV1P1_90,1,1,NA,TRUE,FALSE
sre,sre_aiV1P1_91,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_94,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_95,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_96,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_97,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_98,1,0,NA,TRUE,FALSE
sre,sre_aiV1P1_99,2,0.5,NA,FALSE,FALSE
sre,sre_aiV1P2_1,20,1,NA,TRUE,FALSE
sre,sre_aiV1P2_10,20,1,NA,TRUE,FALSE
sre,sre_aiV1P2_100,2,1,NA,TRUE,FALSE
sre,sre_aiV1P2_101,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_102,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_103,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_104,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_105,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_106,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_107,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_108,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_109,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_11,20,1,NA,TRUE,FALSE
sre,sre_aiV1P2_110,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_111,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_112,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_113,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_114,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_115,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_116,1,1,NA,TRUE,FALSE
sre,sre_aiV1P2_12,20,0.9,0.167,FALSE,TRUE
sre,sre_aiV1P2_13,20,1,NA,TRUE,FALSE
sre,sre_aiV1P2_14,20,1,NA,TRUE,FALSE
sre,sre_aiV1P2_15,20,1,NA,TRUE,FALSE
sre,sre_aiV1P2_16,20,0.85,0.03,FALSE,TRUE
sre,sre_aiV1P2_17,18,0.944,0.225,TRUE,FALSE
sre,sre_aiV1P2_18,20,0.95,-0.255,TRUE,TRUE
sre,sre_aiV1P2_19,20,0.95,0.256,TRUE,FALSE
sre,sre_aiV1P2_2,19,0.789,0.113,FALSE,TRUE
sre,sre_aiV1P2_20,20,1,NA,TRUE,FALSE
sre,sre_aiV1P2_21,20,1,NA,TRUE,FALSE
sre,sre_aiV1P2_22,19,0.684,0.55,FALSE,FALSE
sre,sre_aiV1P2_23,20,0.95,0.064,TRUE,TRUE
sre,sre_aiV1P2_24,19,1,NA,TRUE,FALSE
sre,sre_aiV1P2_25,18,0.944,0.108,TRUE,TRUE
sre,sre_aiV1P2_26,19,1,NA,TRUE,FALSE
sre,sre_aiV1P2_27,19,1,NA,TRUE,FALSE
sre,sre_aiV1P2_28,18,0.944,0.292,TRUE,FALSE
sre,sre_aiV1P2_29,19,0.947,0.148,TRUE,TRUE
sre,sre_aiV1P2_3,20,0.95,0.219,TRUE,FALSE
sre,sre_aiV1P2_30,19,1,NA,TRUE,FALSE
sre,sre_aiV1P2_31,19,0.947,-0.116,TRUE,TRUE
sre,sre_aiV1P2_32,19,1,NA,TRUE,FALSE
sre,sre_aiV1P2_33,18,0.889,0.036,FALSE,TRUE
sre,sre_aiV1P2_34,18,0.944,0.279,TRUE,FALSE
sre,sre_aiV1P2_35,18,1,NA,TRUE,FALSE
sre,sre_aiV1P2_36,16,0.875,0.245,FALSE,FALSE
sre,sre_aiV1P2_37,17,0.765,0.267,FALSE,FALSE
sre,sre_aiV1P2_38,18,0.889,0.141,FALSE,TRUE
sre,sre_aiV1P2_39,18,0.889,0.149,FALSE,TRUE
sre,sre_aiV1P2_4,20,1,NA,TRUE,FALSE
sre,sre_aiV1P2_40,18,1,NA,TRUE,FALSE
sre,sre_aiV1P2_41,18,1,NA,TRUE,FALSE
sre,sre_aiV1P2_42,15,1,NA,TRUE,FALSE
sre,sre_aiV1P2_43,15,0.867,0.113,FALSE,TRUE
sre,sre_aiV1P2_44,15,1,NA,TRUE,FALSE
sre,sre_aiV1P2_45,15,1,NA,TRUE,FALSE
sre,sre_aiV1P2_46,14,0.857,0.253,FALSE,FALSE
sre,sre_aiV1P2_47,13,0.923,-0.006,TRUE,TRUE
sre,sre_aiV1P2_48,12,1,NA,TRUE,FALSE
sre,sre_aiV1P2_49,11,0.909,0.43,TRUE,FALSE
sre,sre_aiV1P2_5,19,0.737,0.327,FALSE,FALSE
sre,sre_aiV1P2_50,11,0.909,0.43,TRUE,FALSE
sre,sre_aiV1P2_51,11,1,NA,TRUE,FALSE
sre,sre_aiV1P2_52,11,1,NA,TRUE,FALSE
sre,sre_aiV1P2_53,10,1,NA,TRUE,FALSE
sre,sre_aiV1P2_54,10,0.9,0.26,FALSE,FALSE
sre,sre_aiV1P2_55,10,0.8,-0.38,FALSE,TRUE
sre,sre_aiV1P2_56,10,1,NA,TRUE,FALSE
sre,sre_aiV1P2_57,10,1,NA,TRUE,FALSE
sre,sre_aiV1P2_58,10,0.9,-0.13,FALSE,TRUE
sre,sre_aiV1P2_59,9,1,NA,TRUE,FALSE
sre,sre_aiV1P2_6,20,1,NA,TRUE,FALSE
sre,sre_aiV1P2_60,9,1,NA,TRUE,FALSE
sre,sre_aiV1P2_61,9,1,NA,TRUE,FALSE
sre,sre_aiV1P2_62,9,1,NA,TRUE,FALSE
sre,sre_aiV1P2_63,9,0.778,-0.632,FALSE,TRUE
sre,sre_aiV1P2_64,9,0.889,0.277,FALSE,FALSE
sre,sre_aiV1P2_65,9,1,NA,TRUE,FALSE
sre,sre_aiV1P2_66,9,0.889,0.325,FALSE,FALSE
sre,sre_aiV1P2_67,9,1,NA,TRUE,FALSE
sre,sre_aiV1P2_68,9,0.889,-0.715,FALSE,TRUE
sre,sre_aiV1P2_69,9,1,NA,TRUE,FALSE
sre,sre_aiV1P2_7,20,0.95,-0.073,TRUE,TRUE
sre,sre_aiV1P2_70,8,1,NA,TRUE,FALSE
sre,sre_aiV1P2_71,7,1,NA,TRUE,FALSE
sre,sre_aiV1P2_72,7,1,NA,TRUE,FALSE
sre,sre_aiV1P2_73,7,1,NA,TRUE,FALSE
sre,sre_aiV1P2_74,7,1,NA,TRUE,FALSE
sre,sre_aiV1P2_75,7,1,NA,TRUE,FALSE
sre,sre_aiV1P2_76,6,0.833,0.64,FALSE,FALSE
sre,sre_aiV1P2_77,6,0.833,0.07,FALSE,TRUE
sre,sre_aiV1P2_78,6,1,NA,TRUE,FALSE
sre,sre_aiV1P2_79,6,1,NA,TRUE,FALSE
sre,sre_aiV1P2_8,20,1,NA,TRUE,FALSE
sre,sre_aiV1P2_80,5,1,NA,TRUE,FALSE
sre,sre_aiV1P2_81,5,1,NA,TRUE,FALSE
sre,sre_aiV1P2_82,5,1,NA,TRUE,FALSE
sre,sre_aiV1P2_83,5,1,NA,TRUE,FALSE
sre,sre_aiV1P2_84,5,1,NA,TRUE,FALSE
sre,sre_aiV1P2_85,5,1,NA,TRUE,FALSE
sre,sre_aiV1P2_86,5,0.8,0.277,FALSE,FALSE
sre,sre_aiV1P2_87,4,1,NA,TRUE,FALSE
sre,sre_aiV1P2_88,4,1,NA,TRUE,FALSE
sre,sre_aiV1P2_89,4,1,NA,TRUE,FALSE
sre,sre_aiV1P2_9,20,0.95,0.357,TRUE,FALSE
sre,sre_aiV1P2_90,4,1,NA,TRUE,FALSE
sre,sre_aiV1P2_91,3,1,NA,TRUE,FALSE
sre,sre_aiV1P2_92,3,1,NA,TRUE,FALSE
sre,sre_aiV1P2_93,3,1,NA,TRUE,FALSE
sre,sre_aiV1P2_94,2,1,NA,TRUE,FALSE
sre,sre_aiV1P2_95,2,1,NA,TRUE,FALSE
sre,sre_aiV1P2_96,2,1,NA,TRUE,FALSE
sre,sre_aiV1P2_97,2,1,NA,TRUE,FALSE
sre,sre_aiV1P2_98,2,1,NA,TRUE,FALSE
sre,sre_aiV1P2_99,2,1,NA,TRUE,FALSE
sre,sre_ai_1,8,0.875,0.235,FALSE,FALSE
sre,sre_ai_10,10,0.9,0.154,FALSE,TRUE
sre,sre_ai_100,9,1,NA,TRUE,FALSE
sre,sre_ai_101,7,1,NA,TRUE,FALSE
sre,sre_ai_102,9,0.889,0.119,FALSE,TRUE
sre,sre_ai_103,6,1,NA,TRUE,FALSE
sre,sre_ai_104,4,0.75,NA,FALSE,FALSE
sre,sre_ai_105,5,1,NA,TRUE,FALSE
sre,sre_ai_106,7,0.857,0.379,FALSE,FALSE
sre,sre_ai_107,5,0.6,0.652,FALSE,FALSE
sre,sre_ai_108,6,0.667,0.22,FALSE,FALSE
sre,sre_ai_109,7,0.857,0.082,FALSE,TRUE
sre,sre_ai_11,8,0.875,0.187,FALSE,TRUE
sre,sre_ai_110,8,1,NA,TRUE,FALSE
sre,sre_ai_111,7,0.714,0.113,FALSE,TRUE
sre,sre_ai_112,9,0.889,0.105,FALSE,TRUE
sre,sre_ai_113,6,1,NA,TRUE,FALSE
sre,sre_ai_114,6,0.667,-0.152,FALSE,TRUE
sre,sre_ai_115,8,1,NA,TRUE,FALSE
sre,sre_ai_116,9,1,NA,TRUE,FALSE
sre,sre_ai_117,9,0.556,0.44,FALSE,FALSE
sre,sre_ai_118,6,1,NA,TRUE,FALSE
sre,sre_ai_119,7,0.571,0.564,FALSE,FALSE
sre,sre_ai_12,7,0.857,0.313,FALSE,FALSE
sre,sre_ai_120,7,0.714,-0.591,FALSE,TRUE
sre,sre_ai_121,6,1,NA,TRUE,FALSE
sre,sre_ai_122,8,0.875,0.003,FALSE,TRUE
sre,sre_ai_123,4,0.75,NA,FALSE,FALSE
sre,sre_ai_124,7,0.714,0.445,FALSE,FALSE
sre,sre_ai_125,6,1,NA,TRUE,FALSE
sre,sre_ai_126,5,1,NA,TRUE,FALSE
sre,sre_ai_127,3,1,NA,TRUE,FALSE
sre,sre_ai_128,10,0.7,-0.027,FALSE,TRUE
sre,sre_ai_129,7,0.571,-0.215,FALSE,TRUE
sre,sre_ai_13,5,1,NA,TRUE,FALSE
sre,sre_ai_130,7,0.714,0.147,FALSE,TRUE
sre,sre_ai_131,3,1,NA,TRUE,FALSE
sre,sre_ai_132,8,0.875,-0.023,FALSE,TRUE
sre,sre_ai_133,9,0.889,0.545,FALSE,FALSE
sre,sre_ai_134,9,1,NA,TRUE,FALSE
sre,sre_ai_135,8,1,NA,TRUE,FALSE
sre,sre_ai_136,5,1,NA,TRUE,FALSE
sre,sre_ai_137,8,0.75,0.426,FALSE,FALSE
sre,sre_ai_138,7,1,NA,TRUE,FALSE
sre,sre_ai_139,5,1,NA,TRUE,FALSE
sre,sre_ai_14,9,0.889,0.628,FALSE,FALSE
sre,sre_ai_140,10,1,NA,TRUE,FALSE
sre,sre_ai_141,8,0.875,0.149,FALSE,TRUE
sre,sre_ai_142,4,0.75,NA,FALSE,FALSE
sre,sre_ai_143,10,0.9,0.13,FALSE,TRUE
sre,sre_ai_144,6,1,NA,TRUE,FALSE
sre,sre_ai_145,7,1,NA,TRUE,FALSE
sre,sre_ai_146,8,1,NA,TRUE,FALSE
sre,sre_ai_147,5,0.8,0.638,FALSE,FALSE
sre,sre_ai_148,8,1,NA,TRUE,FALSE
sre,sre_ai_149,11,0.909,0.567,TRUE,FALSE
sre,sre_ai_15,7,1,NA,TRUE,FALSE
sre,sre_ai_150,5,1,NA,TRUE,FALSE
sre,sre_ai_151,8,0.625,0.592,FALSE,FALSE
sre,sre_ai_152,10,0.7,0.099,FALSE,TRUE
sre,sre_ai_153,8,1,NA,TRUE,FALSE
sre,sre_ai_154,6,1,NA,TRUE,FALSE
sre,sre_ai_155,8,0.875,-0.304,FALSE,TRUE
sre,sre_ai_156,3,1,NA,TRUE,FALSE
sre,sre_ai_157,7,0.857,0.35,FALSE,FALSE
sre,sre_ai_158,9,0.889,0.282,FALSE,FALSE
sre,sre_ai_159,9,1,NA,TRUE,FALSE
sre,sre_ai_16,8,0.875,0.728,FALSE,FALSE
sre,sre_ai_160,6,0.667,-0.222,FALSE,TRUE
sre,sre_ai_161,7,1,NA,TRUE,FALSE
sre,sre_ai_162,5,1,NA,TRUE,FALSE
sre,sre_ai_163,12,1,NA,TRUE,FALSE
sre,sre_ai_164,8,0.875,0.661,FALSE,FALSE
sre,sre_ai_165,8,0.875,0.102,FALSE,TRUE
sre,sre_ai_166,6,1,NA,TRUE,FALSE
sre,sre_ai_167,9,0.889,0.209,FALSE,FALSE
sre,sre_ai_168,8,0.75,-0.417,FALSE,TRUE
sre,sre_ai_169,6,0.667,0.441,FALSE,FALSE
sre,sre_ai_17,9,0.889,0.305,FALSE,FALSE
sre,sre_ai_170,8,0.875,-0.289,FALSE,TRUE
sre,sre_ai_171,9,0.889,0.055,FALSE,TRUE
sre,sre_ai_172,8,1,NA,TRUE,FALSE
sre,sre_ai_173,6,0.833,0.002,FALSE,TRUE
sre,sre_ai_174,8,1,NA,TRUE,FALSE
sre,sre_ai_175,5,0.8,0.224,FALSE,FALSE
sre,sre_ai_176,8,1,NA,TRUE,FALSE
sre,sre_ai_177,8,0.875,-0.406,FALSE,TRUE
sre,sre_ai_178,9,0.889,0.245,FALSE,FALSE
sre,sre_ai_179,5,1,NA,TRUE,FALSE
sre,sre_ai_18,6,0.833,0.233,FALSE,FALSE
sre,sre_ai_180,7,0.857,0.518,FALSE,FALSE
sre,sre_ai_181,7,0.714,0.041,FALSE,TRUE
sre,sre_ai_182,6,0.667,0.59,FALSE,FALSE
sre,sre_ai_183,4,1,NA,TRUE,FALSE
sre,sre_ai_184,9,1,NA,TRUE,FALSE
sre,sre_ai_185,9,1,NA,TRUE,FALSE
sre,sre_ai_186,7,1,NA,TRUE,FALSE
sre,sre_ai_187,4,0.75,NA,FALSE,FALSE
sre,sre_ai_188,7,0.714,0.648,FALSE,FALSE
sre,sre_ai_189,6,1,NA,TRUE,FALSE
sre,sre_ai_19,8,1,NA,TRUE,FALSE
sre,sre_ai_190,7,0.857,-0,FALSE,TRUE
sre,sre_ai_191,8,0.875,0.206,FALSE,FALSE
sre,sre_ai_192,6,0.667,0.278,FALSE,FALSE
sre,sre_ai_193,6,0.833,0.256,FALSE,FALSE
sre,sre_ai_194,6,0.833,0.048,FALSE,TRUE
sre,sre_ai_195,7,1,NA,TRUE,FALSE
sre,sre_ai_196,5,1,NA,TRUE,FALSE
sre,sre_ai_197,6,0.833,0.302,FALSE,FALSE
sre,sre_ai_198,9,0.778,-0.314,FALSE,TRUE
sre,sre_ai_199,8,0.875,0.054,FALSE,TRUE
sre,sre_ai_2,6,1,NA,TRUE,FALSE
sre,sre_ai_20,7,0.857,-0.367,FALSE,TRUE
sre,sre_ai_200,5,0.8,0.152,FALSE,TRUE
sre,sre_ai_21,6,1,NA,TRUE,FALSE
sre,sre_ai_22,9,0.889,0.453,FALSE,FALSE
sre,sre_ai_23,7,0.857,0.349,FALSE,FALSE
sre,sre_ai_24,6,0.833,0.517,FALSE,FALSE
sre,sre_ai_25,8,0.75,0.06,FALSE,TRUE
sre,sre_ai_26,8,0.75,-0.241,FALSE,TRUE
sre,sre_ai_27,8,1,NA,TRUE,FALSE
sre,sre_ai_28,9,0.889,0.292,FALSE,FALSE
sre,sre_ai_29,6,1,NA,TRUE,FALSE
sre,sre_ai_3,10,1,NA,TRUE,FALSE
sre,sre_ai_30,4,1,NA,TRUE,FALSE
sre,sre_ai_31,9,0.889,-0.289,FALSE,TRUE
sre,sre_ai_32,7,0.714,0.34,FALSE,FALSE
sre,sre_ai_33,7,0.857,-0.008,FALSE,TRUE
sre,sre_ai_34,9,0.778,0.222,FALSE,FALSE
sre,sre_ai_35,4,1,NA,TRUE,FALSE
sre,sre_ai_36,8,0.75,-0.521,FALSE,TRUE
sre,sre_ai_37,7,0.857,0.609,FALSE,FALSE
sre,sre_ai_38,8,0.75,-0.063,FALSE,TRUE
sre,sre_ai_39,8,1,NA,TRUE,FALSE
sre,sre_ai_4,5,0.8,0.057,FALSE,TRUE
sre,sre_ai_40,7,0.571,0.666,FALSE,FALSE
sre,sre_ai_41,5,0.8,0.531,FALSE,FALSE
sre,sre_ai_42,8,0.875,0.058,FALSE,TRUE
sre,sre_ai_43,4,0.75,NA,FALSE,FALSE
sre,sre_ai_44,9,0.556,-0.116,FALSE,TRUE
sre,sre_ai_45,7,0.857,0.145,FALSE,TRUE
