school,task_category,task,user_id,score
ColE,Social cognition,hostile-attribution,ToeMmuwhFkH3BbuBa0gi,0
ColE,Social cognition,hostile-attribution,WgkKU8oqKk6T5PzW2Qcs,0
ColE,Social cognition,hostile-attribution,YLlHmRoGqis9eh3Isbwd,0
ColE,Social cognition,hostile-attribution,YouP5v07nWTt1ya3bmSq,0
ColE,Social cognition,hostile-attribution,ZkJEElOhwvmLtiXIIW57,0
ColE,Social cognition,hostile-attribution,aRRFQE2qLQBRzZpOI8hy,0
ColE,Social cognition,hostile-attribution,ekM1GQSFgaq2DwQD2xec,0
ColE,Social cognition,hostile-attribution,ey2ractI0IqZ0QjzbxLV,0
ColE,Social cognition,hostile-attribution,hGAb0X1CxYovmC6vbtEs,0
ColE,Social cognition,hostile-attribution,hP529jOQKm1I3wqERq41,0
ColE,Social cognition,hostile-attribution,jnkpDaWJ7bSjxGfjdpmJ,0
ColE,Social cognition,hostile-attribution,lO7AC2c50QxELhis7ACW,0
ColE,Social cognition,hostile-attribution,luQ1Hh56nDlXIw8RIIER,0
ColE,Social cognition,hostile-attribution,poM6cpMAQnl0qgeNO3dG,0
ColE,Social cognition,hostile-attribution,rjwPHcSNhq00tajzLDm9,0
ColE,Social cognition,hostile-attribution,tE02p94vnVSt1VOH52ox,0
ColE,Social cognition,hostile-attribution,tjK7ZxiImCgbC0qXTdDf,0
ColE,Social cognition,hostile-attribution,y6iUiz5EIDrIKKwzSV3r,0
ColE,Reasoning,matrix-reasoning,hP529jOQKm1I3wqERq41,0.5157689583651954
ColE,Reasoning,matrix-reasoning,NtIYqaV2dE0j3PVG5Zvt,0.6583448969974717
ColE,Reading,pa-es,1IJTgNJKnSNJ9ArFNMg0,1
ColE,Reading,pa-es,LMsCuCRvHFc2ApKfTvfi,0.95
ColE,Reading,pa-es,OTD8MesPZgEIoDpn3De4,1
ColE,Reading,pa-es,UnkLRWNDoCgVXpPoiWwz,0.95
ColE,Reading,pa-es,ZozIkYP8g7GKw7wY53Bt,0.95
ColE,Reading,pa-es,fS5IpIOuP7XOap72paA1,0.95
ColE,Executive function,same-different-selection,T5ba0Cto41iwPjOgPOh6,-0.37130597489869865
ColE,Executive function,same-different-selection,ZkJEElOhwvmLtiXIIW57,0.40629448438714194
ColE,Reading,sre-es,1IJTgNJKnSNJ9ArFNMg0,0.2
ColE,Reading,sre-es,OTD8MesPZgEIoDpn3De4,0.20555555555555555
ColE,Reading,sre-es,Ue5zywfb639xJszAsDBl,0.2111111111111111
ColE,Reading,sre-es,cEaw8J2FRzBCVdgCkiDP,0.25
ColE,Reading,sre-es,iFf8GKfaE1UoRTS86aOL,0.2
ColE,Reading,swr-es,iFf8GKfaE1UoRTS86aOL,2.19684237705706
